Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2012",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
TEXAS,Total,"18,642","16,062","10,749",57.7,1.1,66.9,1.1,"8,643",46.4,1.1,53.8,1.2,
,18 to 24,"2,538","2,249",971,38.2,2.9,43.1,3.1,572,22.5,2.5,25.4,2.8,
,25 to 34,"3,695","2,965","1,734",46.9,2.5,58.5,2.7,"1,228",33.2,2.3,41.4,2.7,
,35 to 44,"3,445","2,748","1,839",53.4,2.6,66.9,2.7,"1,473",42.8,2.5,53.6,2.9,
,45 to 64,"6,115","5,429","3,981",65.1,1.8,73.3,1.8,"3,399",55.6,1.9,62.6,2.0,
,65+,"2,849","2,671","2,225",78.1,2.3,83.3,2.2,"1,971",69.2,2.6,73.8,2.6,
UTAH,Total,"1,917","1,793","1,138",59.4,2.3,63.5,2.4,"1,022",53.3,2.4,57.0,2.4,
,18 to 24,279,263,115,41.2,6.1,43.7,6.3,97,34.8,5.9,36.9,6.2,
,25 to 34,446,407,236,52.9,4.9,57.9,5.1,194,43.4,4.9,47.5,5.1,
,35 to 44,357,307,182,51.1,5.5,59.4,5.8,161,45.2,5.5,52.6,5.9,
,45 to 64,592,576,396,67.0,4.0,68.8,4.0,375,63.4,4.1,65.1,4.1,
,65+,242,240,208,85.9,4.6,86.9,4.5,195,80.4,5.3,81.3,5.2,
VERMONT,Total,496,487,357,72.0,2.5,73.4,2.5,308,62.1,2.7,63.3,2.7,
,18 to 24,61,59,30,(B),(B),51.0,7.9,23,(B),(B),39.1,7.8,
,25 to 34,69,68,41,(B),(B),60.7,7.3,30,(B),(B),44.6,7.4,
,35 to 44,78,76,53,68.2,6.5,70.2,6.4,46,59.4,6.8,61.2,6.9,
,45 to 64,195,193,153,78.8,3.6,79.6,3.6,133,68.5,4.1,69.2,4.1,
,65+,93,91,79,85.1,4.5,86.8,4.3,75,80.6,5.0,82.2,4.9,
VIRGINIA,Total,"6,094","5,645","4,210",69.1,1.8,74.6,1.7,"3,778",62.0,1.9,66.9,1.9,
,18 to 24,695,612,351,50.5,5.7,57.4,6.0,292,42.0,5.6,47.7,6.0,
,25 to 34,"1,192","1,026",698,58.6,4.3,68.1,4.3,605,50.8,4.3,59.0,4.6,
,35 to 44,989,889,717,72.5,4.2,80.7,3.9,634,64.1,4.5,71.3,4.5,
,45 to 64,"2,140","2,050","1,591",74.3,2.8,77.6,2.7,"1,473",68.9,3.0,71.9,3.0,
,65+,"1,079","1,069",853,79.1,3.7,79.8,3.7,774,71.7,4.1,72.4,4.1,
WASHINGTON,Total,"5,230","4,832","3,533",67.6,2.0,73.1,1.9,"3,172",60.7,2.0,65.6,2.1,
,18 to 24,563,511,275,48.8,6.4,53.8,6.7,215,38.2,6.2,42.1,6.6,
,25 to 34,"1,017",911,596,58.6,4.7,65.4,4.8,488,48.0,4.8,53.6,5.0,
,35 to 44,916,809,649,70.8,4.6,80.2,4.2,577,62.9,4.8,71.3,4.8,
,45 to 64,"1,660","1,570","1,183",71.3,3.4,75.3,3.3,"1,101",66.4,3.5,70.1,3.5,
,65+,"1,074","1,032",830,77.3,3.9,80.5,3.7,791,73.7,4.1,76.7,4.0,
WEST VIRGINIA,Total,"1,452","1,442",982,67.6,2.2,68.1,2.2,690,47.5,2.4,47.8,2.4,
,18 to 24,163,162,78,47.8,7.0,48.1,7.1,37,22.6,5.9,22.7,5.9,
,25 to 34,213,210,131,61.3,6.0,62.4,6.0,66,31.1,5.7,31.6,5.8,
,35 to 44,237,237,162,68.5,5.4,68.5,5.4,111,47.0,5.8,47.0,5.8,
,45 to 64,479,475,326,68.0,3.8,68.6,3.8,253,52.9,4.1,53.3,4.1,
,65+,361,359,286,79.2,3.8,79.5,3.8,222,61.5,4.6,61.8,4.6,
WISCONSIN,Total,"4,352","4,247","3,318",76.3,1.9,78.1,1.9,"3,127",71.9,2.0,73.6,2.0,
,18 to 24,539,513,308,57.1,6.4,60.1,6.5,287,53.3,6.4,56.0,6.6,
,25 to 34,699,662,475,68.0,5.3,71.9,5.2,438,62.6,5.5,66.1,5.5,
,35 to 44,714,695,548,76.8,4.7,78.8,4.6,514,72.0,5.0,73.9,5.0,
,45 to 64,"1,552","1,532","1,224",78.9,3.1,79.9,3.1,"1,192",76.8,3.2,77.8,3.2,
,65+,847,845,763,90.0,3.1,90.2,3.1,697,82.2,3.9,82.4,3.9,
WYOMING,Total,427,419,268,62.8,2.6,63.9,2.6,247,57.8,2.6,58.9,2.6,
,18 to 24,56,55,21,(B),(B),38.3,7.1,18,(B),(B),32.3,6.9,
,25 to 34,73,71,44,(B),(B),61.4,6.3,39,(B),(B),54.3,6.4,
,35 to 44,68,66,41,(B),(B),61.1,6.5,36,(B),(B),54.5,6.7,
,45 to 64,155,154,101,65.1,4.2,65.8,4.2,95,61.1,4.3,61.8,4.3,
,65+,74,73,61,(B),(B),84.0,4.7,59,(B),(B),81.1,5.0,
"Source: U.S. Census Bureau, Current Population Survey, November 2012",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,
"The symbol (B) means that the base is less than 75,000 and therefore too small to show the derived measure.",,,,,,,,,,,,,,
