Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2014",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
,25 to 34,445,414,247,55.6,5.8,59.7,6.0,141,31.6,5.5,33.9,5.8,
,35 to 44,344,329,238,69.1,6.2,72.2,6.1,179,52.1,6.7,54.5,6.8,
,45 to 64,819,810,598,73.0,3.8,73.8,3.8,488,59.5,4.3,60.2,4.3,
,65+,471,471,390,82.9,4.3,82.9,4.3,345,73.3,5.1,73.3,5.1,
KANSAS,Total,"2,125","1,993","1,353",63.7,2.6,67.9,2.6,962,45.3,2.7,48.3,2.8,
,18 to 24,258,240,87,33.7,7.4,36.1,7.8,34,13.3,5.4,14.3,5.7,
,25 to 34,414,370,217,52.5,6.2,58.8,6.5,108,26.0,5.5,29.2,6.0,
,35 to 44,324,290,190,58.6,6.9,65.6,7.1,129,39.8,6.9,44.6,7.4,
,45 to 64,714,678,524,73.4,4.2,77.2,4.1,417,58.4,4.7,61.4,4.7,
,65+,415,415,335,80.7,4.9,80.7,4.9,274,66.0,5.9,66.0,5.9,
KENTUCKY,Total,"3,323","3,207","2,298",69.2,2.4,71.6,2.4,"1,525",45.9,2.6,47.5,2.7,
,18 to 24,433,406,226,52.3,7.3,55.7,7.5,101,23.4,6.2,24.9,6.5,
,25 to 34,559,518,349,62.5,6.2,67.4,6.2,202,36.1,6.1,38.9,6.5,
,35 to 44,512,490,382,74.5,5.8,77.9,5.7,236,46.0,6.7,48.1,6.8,
,45 to 64,"1,196","1,172",866,72.4,3.9,73.9,3.9,619,51.8,4.4,52.8,4.4,
,65+,623,621,475,76.2,5.2,76.5,5.1,367,59.0,6.0,59.2,6.0,
LOUISIANA,Total,"3,450","3,342","2,398",69.5,2.3,71.7,2.3,"1,677",48.6,2.5,50.2,2.5,
,18 to 24,501,484,258,51.6,6.5,53.4,6.6,132,26.2,5.7,27.2,5.8,
,25 to 34,643,610,410,63.8,5.5,67.2,5.5,232,36.2,5.5,38.1,5.7,
,35 to 44,502,463,306,60.9,6.3,66.0,6.4,183,36.5,6.2,39.6,6.6,
,45 to 64,"1,179","1,162",913,77.5,3.5,78.6,3.5,703,59.7,4.1,60.5,4.1,
,65+,625,623,510,81.6,4.5,81.9,4.5,426,68.2,5.4,68.5,5.4,
MAINE,Total,"1,061","1,045",799,75.4,2.4,76.5,2.4,642,60.5,2.7,61.5,2.7,
,18 to 24,110,107,54,49.4,8.7,50.7,8.8,33,30.2,8.0,31.0,8.1,
,25 to 34,154,152,98,63.5,7.0,64.4,7.1,67,43.4,7.3,44.0,7.3,
,35 to 44,153,149,119,77.8,6.1,79.7,6.0,90,58.6,7.3,60.1,7.3,
,45 to 64,382,376,310,81.2,3.6,82.5,3.6,258,67.7,4.4,68.7,4.4,
,65+,262,260,218,83.4,4.2,83.9,4.1,194,74.2,4.9,74.7,4.9,
MARYLAND,Total,"4,542","4,148","2,995",65.9,2.2,72.2,2.1,"2,028",44.7,2.3,48.9,2.4,
,18 to 24,490,434,210,42.9,6.9,48.4,7.3,106,21.7,5.7,24.5,6.3,
,25 to 34,964,822,544,56.4,4.9,66.1,5.1,265,27.5,4.4,32.3,5.0,
,35 to 44,649,571,432,66.6,5.7,75.8,5.5,285,44.0,6.0,50.0,6.4,
,45 to 64,"1,682","1,583","1,229",73.0,3.3,77.6,3.2,912,54.2,3.7,57.6,3.8,
,65+,757,738,580,76.6,4.7,78.5,4.6,460,60.8,5.4,62.3,5.5,
MASSACHUSETTS,Total,"5,279","4,815","3,250",61.6,2.0,67.5,2.0,"2,259",42.8,2.0,46.9,2.1,
,18 to 24,590,536,238,40.4,6.0,44.4,6.4,109,18.5,4.8,20.3,5.2,
,25 to 34,983,845,427,43.4,4.7,50.5,5.1,233,23.7,4.0,27.5,4.6,
,35 to 44,844,718,504,59.8,5.0,70.3,5.1,298,35.3,4.9,41.5,5.5,
,45 to 64,"1,813","1,696","1,271",70.1,3.2,74.9,3.1,974,53.7,3.5,57.4,3.6,
,65+,"1,049","1,021",810,77.3,3.9,79.4,3.8,646,61.6,4.5,63.3,4.5,
MICHIGAN,Total,"7,576","7,246","5,159",68.1,1.6,71.2,1.6,"3,416",45.1,1.7,47.1,1.8,
,18 to 24,915,899,448,48.9,5.0,49.8,5.0,167,18.3,3.8,18.6,3.9,
,25 to 34,"1,127","1,039",674,59.8,4.4,64.9,4.5,340,30.1,4.1,32.7,4.4,
