"Table with row headers in column A, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States:  November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1,
,45 to 64,"1,745","1,688","1,156",66.2,3.7,68.5,3.7,959,55.0,3.9,56.8,4.0,
,65+,983,980,735,74.8,4.5,75.1,4.5,580,59.0,5.2,59.2,5.2,
IOWA,Total,"2,376","2,239","1,658",69.8,2.6,74.0,2.5,"1,335",56.2,2.8,59.6,2.8,
,18 to 24,287,259,133,46.3,8.0,51.3,8.4,89,30.9,7.4,34.2,8.0,
,25 to 34,445,402,273,61.4,6.3,68.1,6.3,192,43.2,6.4,47.9,6.8,
,35 to 44,341,306,228,66.8,6.9,74.3,6.8,174,51.0,7.4,56.8,7.7,
,45 to 64,764,732,557,72.9,4.4,76.0,4.3,462,60.5,4.8,63.1,4.8,
,65+,539,539,467,86.5,4.0,86.5,4.0,418,77.4,4.9,77.4,4.9,
KANSAS,Total,"2,149","2,026","1,449",67.4,2.8,71.5,2.8,"1,152",53.6,3.0,56.9,3.0,
,18 to 24,262,246,152,58.1,8.4,62.0,8.6,93,35.4,8.2,37.7,8.6,
,25 to 34,358,319,175,48.8,7.3,54.7,7.7,134,37.3,7.1,41.8,7.6,
,35 to 44,378,335,234,61.8,6.9,69.8,6.9,180,47.5,7.1,53.7,7.5,
,45 to 64,723,700,540,74.6,4.5,77.1,4.4,447,61.8,5.0,63.9,5.0,
,65+,428,426,349,81.5,5.2,81.9,5.2,299,69.9,6.1,70.2,6.1,
KENTUCKY,Total,"3,370","3,249","2,389",70.9,2.6,73.5,2.6,"1,746",51.8,2.9,53.8,2.9,
,18 to 24,436,413,228,52.2,7.9,55.2,8.1,100,22.9,6.7,24.2,7.0,
,25 to 34,539,507,332,61.6,6.9,65.6,7.0,236,43.7,7.1,46.5,7.3,
,35 to 44,518,484,344,66.4,6.9,71.1,6.8,242,46.8,7.3,50.1,7.5,
