"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"144","MICHIGAN","65+",1480,1214,80.3,82.1,1134,75,76.7,"2018"
"145","MINNESOTA","Total",3903,3085,76.1,79,2859,70.5,73.2,"2018"
"146","MINNESOTA","18 to 24",510,329,61.8,64.5,303,57,59.4,"2018"
"147","MINNESOTA","25 to 34",596,435,66.8,72.9,384,59,64.4,"2018"
"148","MINNESOTA","35 to 44",659,518,73.9,78.6,478,68.2,72.6,"2018"
"149","MINNESOTA","45 to 64",1387,1151,81.6,83,1081,76.6,77.9,"2018"
"150","MINNESOTA","65+",751,652,85.6,86.8,613,80.5,81.6,"2018"
"151","MISSISSIPPI","Total",2130,1794,82.8,84.2,1588,73.3,74.5,"2018"
"152","MISSISSIPPI","18 to 24",294,222,73.9,75.5,187,62.4,63.8,"2018"
"153","MISSISSIPPI","25 to 34",390,333,83.8,85.2,279,70.2,71.3,"2018"
"154","MISSISSIPPI","35 to 44",309,255,79.6,82.3,222,69.4,71.8,"2018"
"155","MISSISSIPPI","45 to 64",727,614,83.7,84.5,563,76.7,77.4,"2018"
"156","MISSISSIPPI","65+",410,371,89.2,90.6,337,80.9,82.2,"2018"
"157","MISSOURI","Total",4409,3384,74.8,76.7,2818,62.3,63.9,"2018"
"158","MISSOURI","18 to 24",520,332,63.3,64,223,42.5,42.9,"2018"
"159","MISSOURI","25 to 34",809,585,68.2,72.3,448,52.3,55.4,"2018"
"160","MISSOURI","35 to 44",651,498,74.5,76.6,427,63.8,65.6,"2018"
"161","MISSOURI","45 to 64",1684,1344,78.4,79.8,1175,68.5,69.8,"2018"
"162","MISSOURI","65+",745,624,82.7,83.7,545,72.2,73.1,"2018"
"163","MONTANA","Total",754,553,72,73.3,495,64.5,65.7,"2018"
"164","MONTANA","18 to 24",79,53,65,66.9,33,40.7,41.9,"2018"
"165","MONTANA","25 to 34",137,77,55.9,56.2,65,47.4,47.7,"2018"
"166","MONTANA","35 to 44",105,69,63.3,65.7,62,57.1,59.2,"2018"
"167","MONTANA","45 to 64",249,201,79.1,80.5,189,74.3,75.6,"2018"
"168","MONTANA","65+",184,153,82.3,83.2,146,78.6,79.4,"2018"
"169","NEBRASKA","Total",1296,901,65.7,69.5,798,58.2,61.6,"2018"
"170","NEBRASKA","18 to 24",151,71,42.2,47,61,36.2,40.3,"2018"
"171","NEBRASKA","25 to 34",224,137,56.5,61,110,45.4,49,"2018"
"172","NEBRASKA","35 to 44",218,145,61.8,66.6,128,54.4,58.7,"2018"
"173","NEBRASKA","45 to 64",445,331,71.7,74.5,300,64.9,67.4,"2018"
"174","NEBRASKA","65+",259,217,82.2,83.8,200,75.7,77.2,"2018"
"175","NEVADA","Total",1808,1176,57.7,65,1048,51.4,57.9,"2018"
"176","NEVADA","18 to 24",295,145,45.4,49.1,122,38.2,41.4,"2018"
"177","NEVADA","25 to 34",310,189,52,61.2,158,43.4,51,"2018"
"178","NEVADA","35 to 44",247,158,51.6,64.1,146,47.5,58.9,"2018"
"179","NEVADA","45 to 64",606,413,60.7,68.1,376,55.2,61.9,"2018"
"180","NEVADA","65+",350,270,73.4,77.3,246,66.8,70.4,"2018"
"181","NEW HAMPSHIRE","Total",991,752,73.1,75.9,688,66.9,69.4,"2018"
"182","NEW HAMPSHIRE","18 to 24",119,71,57.5,59.6,61,50,51.9,"2018"
"183","NEW HAMPSHIRE","25 to 34",147,99,62,67.4,91,56.7,61.7,"2018"
"184","NEW HAMPSHIRE","35 to 44",143,100,66.7,69.8,90,60,62.8,"2018"
"185","NEW HAMPSHIRE","45 to 64",414,337,79.4,81.5,312,73.4,75.4,"2018"
"186","NEW HAMPSHIRE","65+",169,145,84.8,85.8,134,78.6,79.6,"2018"
"187","NEW JERSEY","Total",5929,4326,64.3,73,3670,54.5,61.9,"2018"
"188","NEW JERSEY","18 to 24",707,379,47.8,53.6,276,34.9,39.1,"2018"
"189","NEW JERSEY","25 to 34",842,556,52.1,66,475,44.5,56.4,"2018"
"190","NEW JERSEY","35 to 44",939,655,55.2,69.8,536,45.2,57.1,"2018"
"191","NEW JERSEY","45 to 64",2217,1732,71.4,78.1,1545,63.7,69.7,"2018"
"192","NEW JERSEY","65+",1224,1004,79.8,82,838,66.5,68.4,"2018"
"193","NEW MEXICO","Total",1426,978,63,68.6,878,56.5,61.6,"2018"
"194","NEW MEXICO","18 to 24",163,84,47.4,51.3,66,37.1,40.2,"2018"
"195","NEW MEXICO","25 to 34",248,157,54.8,63.1,130,45.6,52.5,"2018"
"196","NEW MEXICO","35 to 44",224,139,54.1,62.2,123,47.8,54.9,"2018"
"197","NEW MEXICO","45 to 64",551,414,70.4,75.1,390,66.3,70.8,"2018"
"198","NEW MEXICO","65+",240,185,75.2,77.2,169,68.8,70.6,"2018"
"199","NEW YORK","Total",13082,8887,59,67.9,7675,50.9,58.7,"2018"
"200","NEW YORK","18 to 24",1790,926,45.7,51.8,710,35,39.6,"2018"
"201","NEW YORK","25 to 34",2171,1387,50,63.9,1145,41.3,52.7,"2018"
"202","NEW YORK","35 to 44",1871,1288,55.2,68.8,1133,48.5,60.5,"2018"
"203","NEW YORK","45 to 64",4706,3381,64.8,71.8,3046,58.4,64.7,"2018"
"204","NEW YORK","65+",2543,1904,70.2,74.9,1642,60.5,64.6,"2018"
"205","NORTH CAROLINA","Total",6712,5295,72.9,78.9,4624,63.7,68.9,"2018"
"206","NORTH CAROLINA","18 to 24",779,496,57.5,63.7,389,45.1,50,"2018"
"207","NORTH CAROLINA","25 to 34",1021,816,66.9,79.9,676,55.4,66.2,"2018"
"208","NORTH CAROLINA","35 to 44",1172,919,69.6,78.4,792,60,67.6,"2018"
"209","NORTH CAROLINA","45 to 64",2373,1925,77.9,81.1,1710,69.2,72.1,"2018"
"210","NORTH CAROLINA","65+",1366,1138,81.9,83.3,1057,76,77.3,"2018"
"211","NORTH DAKOTA","Total",514,383,72.5,74.5,328,62.2,63.9,"2018"
"212","NORTH DAKOTA","18 to 24",66,43,NA,65.1,32,NA,48.9,"2018"
"213","NORTH DAKOTA","25 to 34",106,74,66.4,69.8,62,55.7,58.6,"2018"
"214","NORTH DAKOTA","35 to 44",69,55,NA,79.5,44,NA,64,"2018"
"215","NORTH DAKOTA","45 to 64",190,148,76.3,77.8,129,66.9,68.2,"2018"
"216","NORTH DAKOTA","65+",84,64,75.7,76.2,61,71.9,72.3,"2018"
"217","OHIO","Total",8550,6076,69.4,71.1,5395,61.7,63.1,"2018"
"218","OHIO","18 to 24",1105,629,55,57,511,44.7,46.3,"2018"
"219","OHIO","25 to 34",1352,917,64.9,67.8,772,54.6,57.1,"2018"
"220","OHIO","35 to 44",1274,903,67.4,70.9,772,57.6,60.6,"2018"
"221","OHIO","45 to 64",3179,2325,72.4,73.1,2159,67.2,67.9,"2018"
"222","OHIO","65+",1640,1302,79.4,79.4,1181,72,72,"2018"
"223","OKLAHOMA","Total",2733,1806,64.3,66.1,1431,51,52.4,"2018"
"224","OKLAHOMA","18 to 24",323,130,40.1,40.3,88,27.2,27.3,"2018"
"225","OKLAHOMA","25 to 34",540,296,52.3,54.9,184,32.4,34.1,"2018"
"226","OKLAHOMA","35 to 44",418,281,64.8,67.1,212,49,50.8,"2018"
"227","OKLAHOMA","45 to 64",980,720,72,73.5,602,60.1,61.4,"2018"
"228","OKLAHOMA","65+",473,378,78.4,80,345,71.5,73,"2018"
"229","OREGON","Total",2806,2086,69.6,74.3,1897,63.3,67.6,"2018"
"230","OREGON","18 to 24",364,216,55.3,59.4,186,47.6,51.1,"2018"
"231","OREGON","25 to 34",399,256,55.5,64.1,215,46.7,53.9,"2018"
"232","OREGON","35 to 44",479,345,65.5,72,296,56.2,61.8,"2018"
"233","OREGON","45 to 64",961,756,75.3,78.7,709,70.6,73.7,"2018"
"234","OREGON","65+",604,513,83.3,84.9,491,79.7,81.3,"2018"
"235","PENNSYLVANIA","Total",9452,6795,69,71.9,5824,59.1,61.6,"2018"
"236","PENNSYLVANIA","18 to 24",1137,645,53.8,56.7,478,39.9,42.1,"2018"
"237","PENNSYLVANIA","25 to 34",1442,984,63.8,68.2,790,51.2,54.8,"2018"
"238","PENNSYLVANIA","35 to 44",1442,1054,69.4,73.1,928,61,64.4,"2018"
"239","PENNSYLVANIA","45 to 64",3547,2648,72.1,74.6,2331,63.4,65.7,"2018"
"240","PENNSYLVANIA","65+",1883,1463,76.5,77.7,1297,67.8,68.9,"2018"
"241","RHODE ISLAND","Total",751,552,67.5,73.5,469,57.4,62.5,"2018"
"242","RHODE ISLAND","18 to 24",89,61,61.8,68.9,45,45.2,50.3,"2018"
"243","RHODE ISLAND","25 to 34",108,70,57.8,64.8,58,47.6,53.3,"2018"
"244","RHODE ISLAND","35 to 44",127,89,59.5,69.9,76,50.9,59.9,"2018"
"245","RHODE ISLAND","45 to 64",272,213,73.4,78.3,185,64,68.3,"2018"
"246","RHODE ISLAND","65+",155,119,75.5,76.6,105,66.7,67.7,"2018"
"247","SOUTH CAROLINA","Total",3380,2479,70.5,73.3,2187,62.2,64.7,"2018"
"248","SOUTH CAROLINA","18 to 24",451,265,55.9,58.8,243,51.3,54,"2018"
"249","SOUTH CAROLINA","25 to 34",476,364,71.3,76.4,293,57.5,61.6,"2018"
"250","SOUTH CAROLINA","35 to 44",561,405,67.3,72.2,343,57,61.1,"2018"
"251","SOUTH CAROLINA","45 to 64",1289,956,72.4,74.2,866,65.7,67.2,"2018"
"252","SOUTH CAROLINA","65+",604,489,80,81,442,72.3,73.2,"2018"
"253","SOUTH DAKOTA","Total",607,454,73.7,74.8,370,60.1,61,"2018"
"254","SOUTH DAKOTA","18 to 24",94,52,54.4,54.7,31,32.7,32.9,"2018"
"255","SOUTH DAKOTA","25 to 34",101,65,63.2,64.5,46,44.6,45.6,"2018"
"256","SOUTH DAKOTA","35 to 44",79,64,78.3,81.2,53,63.9,66.3,"2018"
"257","SOUTH DAKOTA","45 to 64",202,167,82,82.7,145,70.9,71.5,"2018"
"258","SOUTH DAKOTA","65+",130,106,80.4,81.2,96,72.9,73.7,"2018"
"259","TENNESSEE","Total",4678,3210,66.2,68.6,2606,53.7,55.7,"2018"
"260","TENNESSEE","18 to 24",590,306,50.2,51.9,207,34,35.2,"2018"
"261","TENNESSEE","25 to 34",773,517,62,66.8,395,47.4,51,"2018"
"262","TENNESSEE","35 to 44",739,514,65.7,69.5,402,51.3,54.3,"2018"
"263","TENNESSEE","45 to 64",1563,1081,67.2,69.1,904,56.3,57.9,"2018"
"264","TENNESSEE","65+",1013,793,78.1,78.3,698,68.7,68.9,"2018"
"265","TEXAS","Total",16062,10749,57.7,66.9,8643,46.4,53.8,"2018"
"266","TEXAS","18 to 24",2249,971,38.2,43.1,572,22.5,25.4,"2018"
"267","TEXAS","25 to 34",2965,1734,46.9,58.5,1228,33.2,41.4,"2018"
"268","TEXAS","35 to 44",2748,1839,53.4,66.9,1473,42.8,53.6,"2018"
"269","TEXAS","45 to 64",5429,3981,65.1,73.3,3399,55.6,62.6,"2018"
"270","TEXAS","65+",2671,2225,78.1,83.3,1971,69.2,73.8,"2018"
"271","UTAH","Total",1793,1138,59.4,63.5,1022,53.3,57,"2018"
"272","UTAH","18 to 24",263,115,41.2,43.7,97,34.8,36.9,"2018"
"273","UTAH","25 to 34",407,236,52.9,57.9,194,43.4,47.5,"2018"
"274","UTAH","35 to 44",307,182,51.1,59.4,161,45.2,52.6,"2018"
"275","UTAH","45 to 64",576,396,67,68.8,375,63.4,65.1,"2018"
"276","UTAH","65+",240,208,85.9,86.9,195,80.4,81.3,"2018"
"277","VERMONT","Total",487,357,72,73.4,308,62.1,63.3,"2018"
"278","VERMONT","18 to 24",59,30,NA,51,23,NA,39.1,"2018"
"279","VERMONT","25 to 34",68,41,NA,60.7,30,NA,44.6,"2018"
"280","VERMONT","35 to 44",76,53,68.2,70.2,46,59.4,61.2,"2018"
"281","VERMONT","45 to 64",193,153,78.8,79.6,133,68.5,69.2,"2018"
"282","VERMONT","65+",91,79,85.1,86.8,75,80.6,82.2,"2018"
"283","VIRGINIA","Total",5645,4210,69.1,74.6,3778,62,66.9,"2018"
"284","VIRGINIA","18 to 24",612,351,50.5,57.4,292,42,47.7,"2018"
"285","VIRGINIA","25 to 34",1026,698,58.6,68.1,605,50.8,59,"2018"
"286","VIRGINIA","35 to 44",889,717,72.5,80.7,634,64.1,71.3,"2018"
"287","VIRGINIA","45 to 64",2050,1591,74.3,77.6,1473,68.9,71.9,"2018"
"288","VIRGINIA","65+",1069,853,79.1,79.8,774,71.7,72.4,"2018"
"289","WASHINGTON","Total",4832,3533,67.6,73.1,3172,60.7,65.6,"2018"
"290","WASHINGTON","18 to 24",511,275,48.8,53.8,215,38.2,42.1,"2018"
"291","WASHINGTON","25 to 34",911,596,58.6,65.4,488,48,53.6,"2018"
"292","WASHINGTON","35 to 44",809,649,70.8,80.2,577,62.9,71.3,"2018"
"293","WASHINGTON","45 to 64",1570,1183,71.3,75.3,1101,66.4,70.1,"2018"
"294","WASHINGTON","65+",1032,830,77.3,80.5,791,73.7,76.7,"2018"
"295","WEST VIRGINIA","Total",1442,982,67.6,68.1,690,47.5,47.8,"2018"
"296","WEST VIRGINIA","18 to 24",162,78,47.8,48.1,37,22.6,22.7,"2018"
"297","WEST VIRGINIA","25 to 34",210,131,61.3,62.4,66,31.1,31.6,"2018"
"298","WEST VIRGINIA","35 to 44",237,162,68.5,68.5,111,47,47,"2018"
"299","WEST VIRGINIA","45 to 64",475,326,68,68.6,253,52.9,53.3,"2018"
"300","WEST VIRGINIA","65+",359,286,79.2,79.5,222,61.5,61.8,"2018"
"301","WISCONSIN","Total",4247,3318,76.3,78.1,3127,71.9,73.6,"2018"
"302","WISCONSIN","18 to 24",513,308,57.1,60.1,287,53.3,56,"2018"
"303","WISCONSIN","25 to 34",662,475,68,71.9,438,62.6,66.1,"2018"
"304","WISCONSIN","35 to 44",695,548,76.8,78.8,514,72,73.9,"2018"
"305","WISCONSIN","45 to 64",1532,1224,78.9,79.9,1192,76.8,77.8,"2018"
"306","WISCONSIN","65+",845,763,90,90.2,697,82.2,82.4,"2018"
"307","WYOMING","Total",419,268,62.8,63.9,247,57.8,58.9,"2018"
"308","WYOMING","18 to 24",55,21,NA,38.3,18,NA,32.3,"2018"
"309","WYOMING","25 to 34",71,44,NA,61.4,39,NA,54.3,"2018"
"310","WYOMING","35 to 44",66,41,NA,61.1,36,NA,54.5,"2018"
"311","WYOMING","45 to 64",154,101,65.1,65.8,95,61.1,61.8,"2018"
"312","WYOMING","65+",73,61,NA,84,59,NA,81.1,"2018"
