"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"107","KANSAS","35 to 44",335,234,61.8,69.8,180,47.5,53.7,"2018"
"108","KANSAS","45 to 64",700,540,74.6,77.1,447,61.8,63.9,"2018"
"109","KANSAS","65+",426,349,81.5,81.9,299,69.9,70.2,"2018"
"110","KENTUCKY","Total",3249,2389,70.9,73.5,1746,51.8,53.8,"2018"
"111","KENTUCKY","18 to 24",413,228,52.2,55.2,100,22.9,24.2,"2018"
"112","KENTUCKY","25 to 34",507,332,61.6,65.6,236,43.7,46.5,"2018"
"113","KENTUCKY","35 to 44",484,344,66.4,71.1,242,46.8,50.1,"2018"
"114","KENTUCKY","45 to 64",1048,836,77.5,79.8,662,61.3,63.1,"2018"
"115","KENTUCKY","65+",798,649,81.4,81.4,507,63.5,63.5,"2018"
"116","LOUISIANA","Total",3326,2263,65.4,68,1656,47.9,49.8,"2018"
"117","LOUISIANA","18 to 24",390,202,49.3,51.7,98,24,25.2,"2018"
"118","LOUISIANA","25 to 34",549,335,57.2,61.1,217,37,39.5,"2018"
"119","LOUISIANA","35 to 44",573,376,61.9,65.5,257,42.2,44.8,"2018"
"120","LOUISIANA","45 to 64",1112,791,69.1,71.1,633,55.3,56.9,"2018"
"121","LOUISIANA","65+",702,560,78.7,79.7,452,63.5,64.3,"2018"
"122","MAINE","Total",1056,828,77.1,78.4,693,64.5,65.6,"2018"
"123","MAINE","18 to 24",89,46,51.5,51.5,26,29.2,29.2,"2018"
"124","MAINE","25 to 34",171,108,61.9,63.2,88,50.3,51.3,"2018"
"125","MAINE","35 to 44",148,122,81.5,82.1,93,62.4,62.9,"2018"
"126","MAINE","45 to 64",378,317,82.5,83.9,273,70.9,72.1,"2018"
"127","MAINE","65+",270,235,85.3,87.1,213,77.3,78.9,"2018"
"128","MARYLAND","Total",4281,3095,66.3,72.3,2320,49.7,54.2,"2018"
"129","MARYLAND","18 to 24",584,354,54.2,60.6,220,33.7,37.7,"2018"
"130","MARYLAND","25 to 34",690,477,61.2,69.2,302,38.7,43.8,"2018"
"131","MARYLAND","35 to 44",616,444,64.5,72.1,340,49.3,55.2,"2018"
"132","MARYLAND","45 to 64",1486,1101,68.6,74.1,902,56.2,60.7,"2018"
"133","MARYLAND","65+",906,719,76.6,79.4,556,59.2,61.4,"2018"
"134","MASSACHUSETTS","Total",4919,3345,61.3,68,2731,50,55.5,"2018"
"135","MASSACHUSETTS","18 to 24",556,240,37.3,43.2,188,29.3,33.9,"2018"
"136","MASSACHUSETTS","25 to 34",905,549,52.8,60.6,417,40.2,46.1,"2018"
"137","MASSACHUSETTS","35 to 44",666,429,52.8,64.4,324,39.8,48.6,"2018"
"138","MASSACHUSETTS","45 to 64",1729,1326,70.9,76.7,1121,59.9,64.9,"2018"
"139","MASSACHUSETTS","65+",1063,801,73.2,75.4,681,62.2,64.1,"2018"
"140","MICHIGAN","Total",7430,5453,71.2,73.4,4418,57.7,59.5,"2018"
"141","MICHIGAN","18 to 24",825,455,54.1,55.1,279,33.2,33.9,"2018"
"142","MICHIGAN","25 to 34",1249,823,63.3,65.9,589,45.3,47.2,"2018"
"143","MICHIGAN","35 to 44",1077,793,68.8,73.6,625,54.3,58.1,"2018"
"144","MICHIGAN","45 to 64",2673,2071,75.8,77.5,1733,63.4,64.8,"2018"
"145","MICHIGAN","65+",1605,1311,80.4,81.7,1190,73,74.1,"2018"
"146","MINNESOTA","Total",4006,3000,70.8,74.9,2523,59.5,63,"2018"
"147","MINNESOTA","18 to 24",410,210,47.8,51.2,175,39.9,42.7,"2018"
"148","MINNESOTA","25 to 34",696,434,54.7,62.4,330,41.5,47.4,"2018"
"149","MINNESOTA","35 to 44",653,502,72.5,76.9,419,60.6,64.2,"2018"
"150","MINNESOTA","45 to 64",1461,1155,76,79,981,64.6,67.1,"2018"
"151","MINNESOTA","65+",785,699,88.1,89,618,77.9,78.7,"2018"
"152","MISSISSIPPI","Total",2178,1599,72.9,73.4,1180,53.8,54.2,"2018"
"153","MISSISSIPPI","18 to 24",269,123,45.7,45.7,72,26.7,26.7,"2018"
"154","MISSISSIPPI","25 to 34",354,253,69.5,71.5,133,36.5,37.6,"2018"
"155","MISSISSIPPI","35 to 44",353,267,75.7,75.7,187,53.1,53.1,"2018"
"156","MISSISSIPPI","45 to 64",722,571,78.5,79.1,472,64.9,65.4,"2018"
"157","MISSISSIPPI","65+",481,385,80.1,80.1,316,65.8,65.8,"2018"
"158","MISSOURI","Total",4564,3299,70.6,72.3,2509,53.7,55,"2018"
"159","MISSOURI","18 to 24",488,307,58.8,62.9,202,38.7,41.4,"2018"
"160","MISSOURI","25 to 34",774,544,67.6,70.2,373,46.3,48.1,"2018"
"161","MISSOURI","35 to 44",759,517,66.3,68.2,386,49.5,50.9,"2018"
"162","MISSOURI","45 to 64",1450,1064,72.8,73.4,832,56.9,57.4,"2018"
"163","MISSOURI","65+",1093,867,78.3,79.3,716,64.7,65.6,"2018"
"164","MONTANA","Total",812,579,70.4,71.3,518,63,63.8,"2018"
"165","MONTANA","18 to 24",81,41,49.7,50.5,32,38.3,38.9,"2018"
"166","MONTANA","25 to 34",144,89,60.9,62.3,71,48,49.2,"2018"
"167","MONTANA","35 to 44",124,90,70.6,72.4,76,59.8,61.3,"2018"
"168","MONTANA","45 to 64",253,192,75.5,75.8,178,70.1,70.3,"2018"
"169","MONTANA","65+",210,167,78.8,79.4,162,76.6,77.1,"2018"
"170","NEBRASKA","Total",1332,883,61.9,66.3,676,47.3,50.8,"2018"
"171","NEBRASKA","18 to 24",157,69,40.1,43.9,50,29.2,32,"2018"
"172","NEBRASKA","25 to 34",268,165,57.6,61.4,112,39.1,41.7,"2018"
"173","NEBRASKA","35 to 44",181,113,52.6,62.5,81,37.9,45,"2018"
"174","NEBRASKA","45 to 64",439,311,66.5,70.7,244,52.2,55.5,"2018"
"175","NEBRASKA","65+",286,226,78.5,79,189,65.5,66,"2018"
"176","NEVADA","Total",2067,1277,55,61.8,1006,43.3,48.7,"2018"
"177","NEVADA","18 to 24",238,119,45.7,49.9,77,29.7,32.4,"2018"
"178","NEVADA","25 to 34",373,192,44.3,51.5,115,26.6,30.9,"2018"
"179","NEVADA","35 to 44",323,191,51.3,59.3,141,37.8,43.7,"2018"
"180","NEVADA","45 to 64",687,452,57.2,65.8,372,47,54.2,"2018"
"181","NEVADA","65+",447,323,69.1,72.3,301,64.5,67.4,"2018"
"182","NEW HAMPSHIRE","Total",1025,726,67.2,70.8,576,53.3,56.2,"2018"
"183","NEW HAMPSHIRE","18 to 24",106,61,53.4,57.6,39,34.4,37.1,"2018"
"184","NEW HAMPSHIRE","25 to 34",138,84,55.3,61.1,61,39.9,44,"2018"
"185","NEW HAMPSHIRE","35 to 44",165,108,61.7,65.2,80,45.8,48.4,"2018"
"186","NEW HAMPSHIRE","45 to 64",387,298,73.7,76.8,241,59.6,62.1,"2018"
"187","NEW HAMPSHIRE","65+",228,175,74.9,76.8,155,66.3,68,"2018"
"188","NEW JERSEY","Total",6267,4297,61.3,68.6,3384,48.3,54,"2018"
"189","NEW JERSEY","18 to 24",738,350,43.1,47.4,237,29.2,32.1,"2018"
"190","NEW JERSEY","25 to 34",1030,670,54.2,65,435,35.2,42.2,"2018"
"191","NEW JERSEY","35 to 44",882,661,61.4,74.9,548,50.9,62,"2018"
"192","NEW JERSEY","45 to 64",2177,1573,66.6,72.3,1297,55,59.6,"2018"
"193","NEW JERSEY","65+",1440,1043,68.4,72.5,868,56.8,60.3,"2018"
"194","NEW MEXICO","Total",1485,916,58.1,61.7,715,45.3,48.1,"2018"
"195","NEW MEXICO","18 to 24",180,80,43.6,44.5,50,27.4,28,"2018"
"196","NEW MEXICO","25 to 34",261,148,52.2,56.9,97,34.1,37.2,"2018"
"197","NEW MEXICO","35 to 44",219,121,51.2,55,81,34.4,37,"2018"
"198","NEW MEXICO","45 to 64",489,311,59,63.7,263,49.8,53.7,"2018"
"199","NEW MEXICO","65+",336,255,74,75.9,224,64.8,66.5,"2018"
"200","NEW YORK","Total",13684,8553,55.3,62.5,6775,43.8,49.5,"2018"
"201","NEW YORK","18 to 24",1518,734,41.7,48.4,505,28.6,33.3,"2018"
"202","NEW YORK","25 to 34",2483,1302,44,52.4,958,32.4,38.6,"2018"
"203","NEW YORK","35 to 44",2005,1301,53.8,64.9,1005,41.5,50.1,"2018"
"204","NEW YORK","45 to 64",4437,2918,59.1,65.8,2341,47.4,52.8,"2018"
"205","NEW YORK","65+",3241,2297,67.6,70.9,1965,57.9,60.6,"2018"
"206","NORTH CAROLINA","Total",7444,5160,65.2,69.3,3899,49.3,52.4,"2018"
"207","NORTH CAROLINA","18 to 24",955,468,46.7,49,302,30.1,31.6,"2018"
"208","NORTH CAROLINA","25 to 34",1169,769,57.8,65.7,447,33.6,38.2,"2018"
"209","NORTH CAROLINA","35 to 44",1071,710,59.1,66.2,526,43.9,49.1,"2018"
"210","NORTH CAROLINA","45 to 64",2630,1905,69.5,72.4,1555,56.7,59.1,"2018"
"211","NORTH CAROLINA","65+",1618,1309,79.9,80.9,1069,65.2,66.1,"2018"
"212","NORTH DAKOTA","Total",541,397,70.9,73.4,335,59.8,61.9,"2018"
"213","NORTH DAKOTA","18 to 24",72,42,NA,NA,26,NA,NA,"2018"
"214","NORTH DAKOTA","25 to 34",113,78,64,68.9,60,49.4,53.2,"2018"
"215","NORTH DAKOTA","35 to 44",77,57,69.9,73.8,47,57.9,61.1,"2018"
"216","NORTH DAKOTA","45 to 64",162,125,75.3,76.7,112,67.9,69.1,"2018"
"217","NORTH DAKOTA","65+",118,96,81.6,81.8,90,76.1,76.4,"2018"
"218","OHIO","Total",8640,6062,68.3,70.2,4538,51.1,52.5,"2018"
"219","OHIO","18 to 24",1007,503,48.7,49.9,226,21.9,22.5,"2018"
"220","OHIO","25 to 34",1399,882,59.9,63,601,40.8,42.9,"2018"
"221","OHIO","35 to 44",1322,956,70.1,72.3,706,51.8,53.4,"2018"
